Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"KLCC, Kuala Lumpur",1050000,4,3.0,2,Serviced Residence (Intermediate),1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1050000,4,3.0,2,Serviced Residence (Intermediate),1335,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",834974,2,2.0,1,Serviced Residence (Intermediate),969,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1474000,2,2.0,2,Serviced Residence (Corner),1485,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1280000,4,4.0,2,Serviced Residence (Corner),1701,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1400000,4,4.0,2,Serviced Residence (Corner),1701,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1474000,2,2.0,2,Serviced Residence (Corner),1485,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1280000,4,3.0,2,Serviced Residence (Corner),1701,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1350000,4,4.0,2,Serviced Residence (Corner),1701,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",850000,3,3.0,2,Serviced Residence (Corner),1055,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1080000,4,3.0,2,Serviced Residence (Intermediate),1313,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1050000,4,3.0,3,Serviced Residence (Intermediate),1313,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",920000,3,3.0,2,Serviced Residence (Corner),1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1150000,4,4.0,3,Serviced Residence (Corner),1701,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",890000,3,3.0,2,Serviced Residence (Corner),1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1000000,3,3.0,2,Serviced Residence (Intermediate),1335,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1150000,4,4.0,3,Serviced Residence (Corner),1378,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",900000,3,3.0,2,Serviced Residence (Corner),1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1200000,4,4.0,2,Serviced Residence (Corner),1378,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2150000,2,2.0,1,Serviced Residence (Intermediate),1076,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",528000,1,1.0,1,Serviced Residence,624,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2282000,2,2.0,1,Serviced Residence (Corner),1087,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bandar Menjalara, Kuala Lumpur",380000,3,2.0,1,Serviced Residence (Intermediate),850,Partly Furnished,Serviced Residence,3.2015,101.6295
"Desa ParkCity, Kuala Lumpur",935000,2,2.0,2,Condominium (Corner),1097,Fully Furnished,Condo,3.1865,101.6341
"KL City, Kuala Lumpur",600000,3,2.0,1,Condominium (Corner),1090,Fully Furnished,Condo,3.1543,101.7155
"Bukit Jalil, Kuala Lumpur",610000,3,2.0,3,Condominium,1281,Unfurnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",2400000,4,4.0,2,Condominium,3439,Fully Furnished,Condo,3.1578,101.7123
"Kepong, Kuala Lumpur",490000,3,2.0,1,Condominium,1030,Unfurnished,Condo,3.2126,101.637
"Setapak, Kuala Lumpur",490000,3,2.0,1,Condominium,1450,Unfurnished,Condo,3.2061,101.7271
"Wangsa Maju, Kuala Lumpur",395000,2,2.0,1,Serviced Residence (Corner),657,Partly Furnished,Serviced Residence,3.2041,101.7372
"Bukit Jalil, Kuala Lumpur",628000,3,2.0,2,Condominium (Intermediate),1236,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",618000,3,2.0,2,Condominium (Intermediate),1232,Partly Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",590000,3,2.0,1,Condominium (Corner),1238,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2200000,2,2.0,1,Serviced Residence,1087,Partly Furnished,Serviced Residence,3.1578,101.7123
"Mont Kiara, Kuala Lumpur",2500000,5,6.0,3,Condominium,3729,Partly Furnished,Condo,3.1718,101.6501
"Jalan Kuching, Kuala Lumpur",310000,3,2.0,1,Apartment,903,Unfurnished,Apartment,3.1864,101.6752
"City Centre, Kuala Lumpur",610000,3,3.0,1,Condominium (Corner),1300,Fully Furnished,Condo,3.1554,101.714
"Bukit Jalil, Kuala Lumpur",428000,3,2.0,1,Apartment,890,Unfurnished,Apartment,3.0593,101.6895
"Damansara Heights, Kuala Lumpur",2210850,3,2.0,1,Serviced Residence,1668,Partly Furnished,Serviced Residence,3.1412,101.6618
"Damansara Heights, Kuala Lumpur",1650000,2,2.0,1,Serviced Residence,1184,Partly Furnished,Serviced Residence,3.1412,101.6618
"Damansara Heights, Kuala Lumpur",1500000,2,1.0,1,Serviced Residence,904,Partly Furnished,Serviced Residence,3.1412,101.6618
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",730000,2,2.0,2,Serviced Residence (Intermediate),1148,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",700000,2,2.0,1,Serviced Residence (Intermediate),1112,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",560000,2,2.0,1,Serviced Residence (Intermediate),763,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",610000,2,2.0,1,Serviced Residence (Intermediate),911,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",680000,3,2.0,2,Serviced Residence,814,Fully Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",718000,3,2.0,2,Serviced Residence,909,Fully Furnished,Serviced Residence,3.0925,101.6748
"Bangsar, Kuala Lumpur",830000,2,2.0,1,Condominium,1098,Partly Furnished,Condo,3.1283,101.6793
"Bangsar, Kuala Lumpur",680000,2,1.0,1,Condominium,624,Partly Furnished,Condo,3.1283,101.6793
"Damansara Heights, Kuala Lumpur",2600000,4,4.0,2,Serviced Residence,1851,Partly Furnished,Serviced Residence,3.1412,101.6618
"Bangsar, Kuala Lumpur",1600000,4,3.0,2,Condominium,2239,Partly Furnished,Condo,3.1283,101.6793
"Cheras, Kuala Lumpur",330000,3,2.0,1,Condominium (Intermediate),1111,Partly Furnished,Condo,3.0958,101.7405
"Mont Kiara, Kuala Lumpur",1350000,3,3.0,2,Condominium,1603,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",2572800,4,4.0,2,Condominium,2144,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2357250,4,4.0,2,Condominium,2245,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2464350,4,4.0,2,Condominium,2347,Partly Furnished,Condo,3.1578,101.7123
"KLCC, Kuala Lumpur",2715300,4,4.0,2,Condominium,2586,Partly Furnished,Condo,3.1578,101.7123
"Desa ParkCity, Kuala Lumpur",1280000,3,2.0,2,Condominium,1281,Partly Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1308000,3,2.0,2,Condominium,1346,Partly Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1230000,3,2.0,2,Condominium,1375,Partly Furnished,Condo,3.1865,101.6341
"Desa ParkCity, Kuala Lumpur",1280000,3,2.0,2,Condominium,1561,Partly Furnished,Condo,3.1865,101.6341
"Taman Desa, Kuala Lumpur",220000,2,2.0,1,Apartment,600,Fully Furnished,Apartment,3.1026,101.6857
"Mont Kiara, Kuala Lumpur",2041942,4,4.0,3,Condominium,2766,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1657810,4,3.0,2,Condominium,2163,Partly Furnished,Condo,3.1718,101.6501
"Damansara Heights, Kuala Lumpur",1400000,1,1.0,1,Serviced Residence (Intermediate),904,Partly Furnished,Serviced Residence,3.1412,101.6618
"Bandar Menjalara, Kuala Lumpur",780000,3,2.0,2,Condominium,1400,Unfurnished,Condo,3.2015,101.6295
"Sentul, Kuala Lumpur",493600,4,2.0,2,Serviced Residence (Corner),1001,Unfurnished,Serviced Residence,3.189,101.6896
"Sentul, Kuala Lumpur",414600,3,2.0,1,Serviced Residence (Intermediate),850,Unfurnished,Serviced Residence,3.189,101.6896
"Mont Kiara, Kuala Lumpur",1680000,3,2.0,2,Condominium,1778,Fully Furnished,Condo,3.1718,101.6501
"Sentul, Kuala Lumpur",690000,2,3.0,1,Condominium (Intermediate),999,Fully Furnished,Condo,3.189,101.6896
"Bukit Jalil, Kuala Lumpur",580000,3,2.0,2,Condominium (Intermediate),1100,Unfurnished,Condo,3.0593,101.6895
"Setapak, Kuala Lumpur",520000,3,2.0,2,Serviced Residence (Corner),918,Partly Furnished,Serviced Residence,3.2061,101.7271
"KL City, Kuala Lumpur",490000,4,2.0,2,Condominium,1184,Unfurnished,Condo,3.1543,101.7155
"Cheras, Kuala Lumpur",504600,4,2.0,2,Condominium (Corner),1000,Partly Furnished,Condo,3.0958,101.7405
"Mont Kiara, Kuala Lumpur",920000,4,4.0,2,Condominium,1828,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1100000,4,3.0,2,Condominium,1828,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",730000,3,2.0,1,Condominium,1208,Partly Furnished,Condo,3.1718,101.6501
"Sri Petaling, Kuala Lumpur",580000,3,2.0,2,Condominium,1237,Fully Furnished,Condo,3.0671,101.6901
"Jalan Sultan Ismail, Kuala Lumpur",670000,2,2.0,1,Serviced Residence (Intermediate),890,Partly Furnished,Serviced Residence,3.1536,101.7055
"Mont Kiara, Kuala Lumpur",820000,1,1.0,1,Serviced Residence (SOHO),735,Partly Furnished,Serviced Residence,3.1718,101.6501
"Setapak, Kuala Lumpur",430000,4,3.0,1,Condominium (Intermediate),1335,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",200000,3,1.0,1,Apartment (Intermediate),653,Partly Furnished,Apartment,3.2061,101.7271
"Setapak, Kuala Lumpur",410000,4,2.0,1,Condominium,1272,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",630000,3,2.0,2,Condominium,1098,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",550000,4,2.0,2,Condominium,1500,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",410000,4,2.0,1,Condominium (Intermediate),1272,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",380000,3,2.0,1,Condominium,1169,Partly Furnished,Condo,3.2061,101.7271
"Taman Tun Dr Ismail, Kuala Lumpur",550000,3,2.0,1,Condominium,1260,Fully Furnished,Condo,3.1518,101.6292
"Bukit Jalil, Kuala Lumpur",638000,3,2.0,2,Condominium (Intermediate),1232,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",588000,2,2.0,2,Condominium (Intermediate),1032,Partly Furnished,Condo,3.0593,101.6895
"KLCC, Kuala Lumpur",920000,3,3.0,1,Serviced Residence,1015,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",538000,3,3.0,2,Condominium (Intermediate),1003,Unfurnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",500000,4,2.0,1,Condominium,1080,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",550000,3,3.0,2,Condominium (Intermediate),1003,Unfurnished,Condo,3.0593,101.6895
"Setapak, Kuala Lumpur",420000,3,2.0,2,Serviced Residence,842,Partly Furnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",420000,3,2.0,2,Serviced Residence,842,Partly Furnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",380000,3,2.0,1,Serviced Residence,925,Partly Furnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",420000,3,2.0,2,Serviced Residence,842,Partly Furnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",400000,2,2.0,1,Serviced Residence,900,Partly Furnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",1200000,3,2.0,2,Condominium,1414,Partly Furnished,Condo,3.2061,101.7271
"Sungai Besi, Kuala Lumpur",730000,3,2.0,2,Serviced Residence (Intermediate),1025,Fully Furnished,Serviced Residence,3.0645,101.7162
"Sri Petaling, Kuala Lumpur",390000,3,2.0,1,Condominium (Intermediate),1045,Partly Furnished,Condo,3.0671,101.6901
"Segambut, Kuala Lumpur",690000,4,3.0,2,Condominium,1262,Partly Furnished,Condo,3.189,101.6628
"Damansara Heights, Kuala Lumpur",1770000,2,2.0,1,Serviced Residence,1152,Partly Furnished,Serviced Residence,3.1412,101.6618
"Wangsa Maju, Kuala Lumpur",890000,4,3.0,4,2-sty Terrace/Link House (Intermediate),2800,Partly Furnished,Terrace/Link House,3.2041,101.7372
"Desa Pandan, Kuala Lumpur",1079000,3,2.0,2,Serviced Residence (Corner),1410,Partly Furnished,Serviced Residence,3.1468,101.7375
"Sentul, Kuala Lumpur",850000,4,4.0,1,Condominium,1381,Partly Furnished,Condo,3.189,101.6896
"Kuchai Lama, Kuala Lumpur",398000,3,2.0,1,Condominium (EndLot),980,Unfurnished,Condo,3.0922,101.6862
"Setapak, Kuala Lumpur",530000,4,2.0,2,Condominium,1378,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",538000,3,2.0,1,Condominium,1473,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",520000,3,2.0,2,Condominium,1100,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",490000,3,2.0,1,Serviced Residence,1040,Partly Furnished,Serviced Residence,3.2061,101.7271
"Setapak, Kuala Lumpur",450000,4,2.0,3,Condominium,1328,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",498000,4,2.0,3,Condominium,1328,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",545000,3,2.0,2,Condominium,908,Unfurnished,Condo,3.2061,101.7271
"Jalan Kuching, Kuala Lumpur",420000,3,2.0,1,Apartment (Intermediate),1200,Fully Furnished,Apartment,3.1864,101.6752
"Desa Petaling, Kuala Lumpur",295000,3,2.0,1,Apartment (Intermediate),910,Partly Furnished,Apartment,3.0853,101.7047
"Jalan Kuching, Kuala Lumpur",520000,3,2.0,2,Condominium,1100,Fully Furnished,Condo,3.1864,101.6752
"Cheras, Kuala Lumpur",455000,3,2.0,1,Condominium,900,Partly Furnished,Condo,3.0958,101.7405
"Wangsa Maju, Kuala Lumpur",630000,3,2.0,1,Condominium,991,Unfurnished,Condo,3.2041,101.7372
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",628000,5,1.0,1,Condominium (Intermediate),730,Partly Furnished,Condo,3.0925,101.6748
"Sri Petaling, Kuala Lumpur",340000,3,2.0,1,Condominium,1017,Partly Furnished,Condo,3.0671,101.6901
"Desa Petaling, Kuala Lumpur",450000,3,2.0,1,Condominium (Intermediate),1038,Fully Furnished,Condo,3.0853,101.7047
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",790000,3,2.0,1,Condominium (Intermediate),1048,Partly Furnished,Condo,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",560000,3,2.0,2,Condominium,1080,Partly Furnished,Condo,3.0593,101.6895
"Desa Petaling, Kuala Lumpur",348000,3,2.0,1,Apartment (Corner),1002,Partly Furnished,Apartment,3.0853,101.7047
"Desa Petaling, Kuala Lumpur",440000,3,2.0,1,Condominium,1144,Fully Furnished,Condo,3.0853,101.7047
"Cheras, Kuala Lumpur",500000,3,2.0,2,Condominium,1050,Unfurnished,Condo,3.0958,101.7405
"Setapak, Kuala Lumpur",450000,3,2.0,1,Condominium,1280,Unfurnished,Condo,3.2061,101.7271
"City Centre, Kuala Lumpur",1400000,1,2.0,1,Serviced Residence (Intermediate),1131,Fully Furnished,Serviced Residence,3.1554,101.714
"Wangsa Maju, Kuala Lumpur",998000,3,2.0,2,Condominium (Corner),1528,Unfurnished,Condo,3.2041,101.7372
"Setapak, Kuala Lumpur",880000,3,3.0,2,Condominium (Corner),1477,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",830000,3,3.0,2,Condominium,1441,Unfurnished,Condo,3.2061,101.7271
"Wangsa Maju, Kuala Lumpur",1280000,4,4.0,2,Condominium (Corner),2031,Partly Furnished,Condo,3.2041,101.7372
"Setapak, Kuala Lumpur",960000,4,3.0,2,Condominium (Corner),1610,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",1700000,5,5.0,3,Condominium (Corner),2646,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",1100000,4,4.0,2,Condominium (Corner),1746,Unfurnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",980000,4,3.0,2,Condominium (Corner),1610,Unfurnished,Condo,3.2061,101.7271
"KLCC, Kuala Lumpur",2450000,4,5.0,2,Condominium,3335,Fully Furnished,Condo,3.1578,101.7123
"Taman Melawati, Kuala Lumpur",500000,3,2.0,2,Serviced Residence,1007,Partly Furnished,Serviced Residence,3.2117,101.7512
"Wangsa Maju, Kuala Lumpur",1000000,5,3.0,2,Condominium,1820,Partly Furnished,Condo,3.2041,101.7372
"Setapak, Kuala Lumpur",400000,3,2.0,1,Condominium,1231,Unfurnished,Condo,3.2061,101.7271
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1390000,4,4.0,3,Condominium (Corner),2638,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1438000,5,4.0,3,Condominium (Corner),2378,Partly Furnished,Condo,3.0925,101.6748
"Taman Desa, Kuala Lumpur",1480000,3,2.0,1,Condominium,2640,Fully Furnished,Condo,3.1026,101.6857
"Jalan Sultan Ismail, Kuala Lumpur",952500,4,2.0,1,Serviced Residence (EndLot),1270,Fully Furnished,Serviced Residence,3.1536,101.7055
"Keramat, Kuala Lumpur",1200000,4,4.0,3,Condominium (Intermediate),1986,Unfurnished,Condo,3.162,101.7378
"Taman Desa, Kuala Lumpur",520000,2,2.0,1,Condominium,997,Fully Furnished,Condo,3.1026,101.6857
"Bukit Jalil, Kuala Lumpur",588000,3,2.0,2,Condominium (Corner),1069,Partly Furnished,Condo,3.0593,101.6895
"Taman Desa, Kuala Lumpur",1380000,4,3.0,2,Condominium (Intermediate),1712,Fully Furnished,Condo,3.1026,101.6857
"Sentul, Kuala Lumpur",640000,4,3.0,2,Condominium,1640,Unfurnished,Condo,3.189,101.6896
"Mont Kiara, Kuala Lumpur",1280000,4,3.0,2,Condominium (Intermediate),1970,Fully Furnished,Condo,3.1718,101.6501
"Sentul, Kuala Lumpur",430000,3,2.0,2,Condominium,1230,Unfurnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",558000,3,2.0,2,Condominium,1230,Fully Furnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",560000,3,2.0,2,Condominium,1363,Partly Furnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",430000,3,2.0,2,Condominium,1240,Unfurnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",520000,3,2.0,2,Condominium,1363,Partly Furnished,Condo,3.189,101.6896
"KL City, Kuala Lumpur",380000,3,2.0,1,Condominium,861,Partly Furnished,Condo,3.1543,101.7155
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1088000,3,2.0,2,1-sty Terrace/Link House (Corner),3000,Partly Furnished,Terrace/Link House,3.0925,101.6748
"Setapak, Kuala Lumpur",225000,2,1.0,1,2-sty Terrace/Link House (Intermediate),604,Partly Furnished,Terrace/Link House,3.2061,101.7271
"Taman Tun Dr Ismail, Kuala Lumpur",1480000,3,3.0,2,Serviced Residence,1690,Fully Furnished,Serviced Residence,3.1518,101.6292
"Ampang Hilir, Kuala Lumpur",1010000,2,1.0,1,Serviced Residence (Intermediate),942,Fully Furnished,Serviced Residence,3.1532,101.7475
"Bukit Jalil, Kuala Lumpur",600000,3,2.0,2,Condominium (Intermediate),1234,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",700000,3,2.0,2,Condominium,1300,Fully Furnished,Condo,3.0593,101.6895
"Sri Petaling, Kuala Lumpur",408000,3,2.0,1,Condominium (Intermediate),1129,Partly Furnished,Condo,3.0671,101.6901
"KLCC, Kuala Lumpur",2500000,2,2.0,1,Serviced Residence,1087,Partly Furnished,Serviced Residence,3.1578,101.7123
"Cheras, Kuala Lumpur",515000,3,2.0,1,Serviced Residence (Intermediate),1097,Partly Furnished,Serviced Residence,3.0958,101.7405
"Kepong, Kuala Lumpur",438000,3,2.0,1,Apartment (Corner),1001,Partly Furnished,Apartment,3.2126,101.637
"Bangsar, Kuala Lumpur",1180000,3,3.0,3,Condominium (Intermediate),1552,Partly Furnished,Condo,3.1283,101.6793
"Mont Kiara, Kuala Lumpur",2630000,6,5.0,3,Condominium (Corner),3401,Partly Furnished,Condo,3.1718,101.6501
"Wangsa Maju, Kuala Lumpur",460000,3,3.0,2,Condominium,1267,Partly Furnished,Condo,3.2041,101.7372
"Wangsa Maju, Kuala Lumpur",460000,3,3.0,2,Condominium,1267,Partly Furnished,Condo,3.2041,101.7372
"Bukit Jalil, Kuala Lumpur",580000,3,2.0,2,Condominium (Corner),1073,Fully Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",615000,4,2.0,2,Condominium (Intermediate),1212,Partly Furnished,Condo,3.0593,101.6895
"KL Sentral, Kuala Lumpur",1100000,2,2.0,1,Condominium (Intermediate),1135,Fully Furnished,Condo,3.1328,101.6851
"KL Sentral, Kuala Lumpur",2400000,5,4.0,1,Condominium (Corner),3029,Partly Furnished,Condo,3.1328,101.6851
"Taman Melawati, Kuala Lumpur",1650000,4,4.0,2,Townhouse,2400,Partly Furnished,Townhouse,3.2117,101.7512
"KLCC, Kuala Lumpur",1050000,3,2.0,1,Serviced Residence,820,Fully Furnished,Serviced Residence,3.1578,101.7123
"Taman Tun Dr Ismail, Kuala Lumpur",780000,3,3.0,1,Serviced Residence,1020,Fully Furnished,Serviced Residence,3.1518,101.6292
"Setapak, Kuala Lumpur",300000,3,2.0,2,Condominium,931,Partly Furnished,Condo,3.2061,101.7271
"KLCC, Kuala Lumpur",2250000,3,3.0,1,Serviced Residence,1600,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1600000,4,4.0,2,Condominium (Corner),2315,Partly Furnished,Condo,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",1400000,3,3.0,2,Serviced Residence (Corner),1555,Fully Furnished,Serviced Residence,3.1466,101.7093
"Cheras, Kuala Lumpur",820000,3,2.0,2,Condominium,1389,Partly Furnished,Condo,3.0958,101.7405
"Mont Kiara, Kuala Lumpur",550000,2,2.0,1,Condominium,931,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",648000,3,2.0,2,Condominium,1049,Fully Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",600000,3,2.0,1,Condominium,1000,Fully Furnished,Condo,3.1718,101.6501
"Setapak, Kuala Lumpur",620000,3,2.0,2,1-sty Terrace/Link House (Intermediate),1600,Partly Furnished,Terrace/Link House,3.2061,101.7271
"Setapak, Kuala Lumpur",700000,3,2.0,2,1-sty Terrace/Link House (Intermediate),1600,Partly Furnished,Terrace/Link House,3.2061,101.7271
